"study_id","es_id","source_csv_row","con_id","ex_id","arm_design","treatment_control_correlation_used","per_effect_size_estimator","decision_status","decision_source","decision_date"
"abramova_2023_biopsy","es164",165,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es165",166,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es166",167,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es167",168,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es168",169,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es169",170,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es170",171,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es171",172,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es172",173,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es173",174,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es174",175,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es175",176,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es176",177,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es177",178,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es178",179,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es179",180,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es180",181,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es181",182,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es182",183,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es183",184,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es184",185,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es185",186,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es186",187,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es187",188,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es188",189,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es189",190,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es190",191,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es191",192,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es192",193,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es193",194,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es194",195,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es195",196,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es196",197,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es197",198,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es198",199,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es199",200,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es200",201,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es201",202,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es202",203,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es203",204,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es204",205,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es205",206,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es206",207,"con021","ex025","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
"abramova_2023_biopsy","es207",208,"con022","ex026","Independent","No","Independent-arm lnRR formulation","Approved","Review-team decision confirmed by Anna Lenz on 2026-08-13","2026-08-13"
