issue_id,severity,certainty,category,study_id,es_id,csv_row,field,current_value,expected_or_review,evidence,source_file,source_locator,recommended_action
I0157,Low,Confirmed,Protocol conformity,abramova_2021_front,es076,77,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0158,Medium,Confirmed,Coding,abramova_2021_front,es076,77,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0159,Low,Confirmed,Coding,abramova_2021_front,es076,77,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0160,Low,Confirmed,Protocol conformity,abramova_2021_front,es077,78,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0161,Medium,Confirmed,Coding,abramova_2021_front,es077,78,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0162,Low,Confirmed,Coding,abramova_2021_front,es077,78,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0163,Low,Confirmed,Protocol conformity,abramova_2021_front,es078,79,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0164,Medium,Confirmed,Coding,abramova_2021_front,es078,79,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0165,Low,Confirmed,Coding,abramova_2021_front,es078,79,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0166,Low,Confirmed,Protocol conformity,abramova_2021_front,es079,80,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0167,Medium,Confirmed,Coding,abramova_2021_front,es079,80,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0168,Low,Confirmed,Coding,abramova_2021_front,es079,80,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0169,Low,Confirmed,Protocol conformity,abramova_2021_front,es080,81,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0170,Medium,Confirmed,Coding,abramova_2021_front,es080,81,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0171,Low,Confirmed,Coding,abramova_2021_front,es080,81,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0172,Low,Confirmed,Protocol conformity,abramova_2021_front,es081,82,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0173,Medium,Confirmed,Coding,abramova_2021_front,es081,82,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0174,Low,Confirmed,Coding,abramova_2021_front,es081,82,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0175,Low,Confirmed,Protocol conformity,abramova_2021_front,es082,83,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0176,Medium,Confirmed,Coding,abramova_2021_front,es082,83,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0177,Low,Confirmed,Coding,abramova_2021_front,es082,83,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0178,Low,Confirmed,Protocol conformity,abramova_2021_front,es083,84,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0179,Medium,Confirmed,Coding,abramova_2021_front,es083,84,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0180,Low,Confirmed,Coding,abramova_2021_front,es083,84,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0181,Low,Confirmed,Protocol conformity,abramova_2021_front,es084,85,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0182,Medium,Confirmed,Coding,abramova_2021_front,es084,85,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0183,Low,Confirmed,Coding,abramova_2021_front,es084,85,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0184,Low,Confirmed,Protocol conformity,abramova_2021_front,es085,86,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0185,Medium,Confirmed,Coding,abramova_2021_front,es085,86,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0186,Low,Confirmed,Coding,abramova_2021_front,es085,86,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0187,Low,Confirmed,Protocol conformity,abramova_2021_front,es086,87,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0188,Medium,Confirmed,Coding,abramova_2021_front,es086,87,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0189,Low,Confirmed,Coding,abramova_2021_front,es086,87,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0190,Low,Confirmed,Protocol conformity,abramova_2021_front,es087,88,exposure_session_duration_h,24,blank (continuous exposure),Protocol says to populate session duration only for intermittent exposure.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_session_duration","Move 24 h/day to notes if useful, or document a protocol deviation before retaining it."
I0191,Medium,Confirmed,Coding,abramova_2021_front,es087,88,outcome_type,Axiety,Anxiety,"Value is outside Protocol Table 5 categories Anxiety, Depression, or Both.",protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item outcome_type",Correct the category before analysis.
I0192,Low,Confirmed,Coding,abramova_2021_front,es087,88,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0193,Low,Confirmed,Coding,badache_2017_stress,es088,89,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0194,Low,Confirmed,Coding,badache_2017_stress,es088,89,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0195,Low,Confirmed,Coding,badache_2017_stress,es089,90,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0196,Low,Confirmed,Coding,badache_2017_stress,es089,90,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0197,Low,Confirmed,Coding,badache_2017_stress,es090,91,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0198,Low,Confirmed,Coding,badache_2017_stress,es090,91,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0199,Low,Confirmed,Coding,badache_2017_stress,es091,92,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0200,Low,Confirmed,Coding,badache_2017_stress,es091,92,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0201,Low,Confirmed,Coding,badache_2017_stress,es092,93,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0202,Low,Confirmed,Coding,badache_2017_stress,es092,93,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0203,Low,Confirmed,Coding,badache_2017_stress,es093,94,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0204,Low,Confirmed,Coding,badache_2017_stress,es093,94,measurement_timing,Light phase,Light Phase,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0205,Low,Confirmed,Coding,whitlow_1978_thesis,es094,95,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0206,Low,Confirmed,Coding,whitlow_1978_thesis,es094,95,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0207,Low,Confirmed,Coding,whitlow_1978_thesis,es095,96,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0208,Low,Confirmed,Coding,whitlow_1978_thesis,es095,96,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0209,Low,Confirmed,Coding,whitlow_1978_thesis,es096,97,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0210,Low,Confirmed,Coding,whitlow_1978_thesis,es096,97,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0211,Low,Confirmed,Coding,whitlow_1978_thesis,es097,98,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0212,Low,Confirmed,Coding,whitlow_1978_thesis,es097,98,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0213,Low,Confirmed,Coding,whitlow_1978_thesis,es098,99,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0214,Low,Confirmed,Coding,whitlow_1978_thesis,es098,99,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0215,Low,Confirmed,Coding,whitlow_1978_thesis,es099,100,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0216,Low,Confirmed,Coding,whitlow_1978_thesis,es099,100,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0217,Low,Confirmed,Coding,whitlow_1978_thesis,es100,101,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0218,Low,Confirmed,Coding,whitlow_1978_thesis,es100,101,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0219,Low,Confirmed,Coding,whitlow_1978_thesis,es101,102,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0220,Low,Confirmed,Coding,whitlow_1978_thesis,es101,102,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0221,Low,Confirmed,Coding,whitlow_1978_thesis,es102,103,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0222,Low,Confirmed,Coding,whitlow_1978_thesis,es102,103,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0223,Low,Confirmed,Coding,whitlow_1978_thesis,es103,104,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0224,Low,Confirmed,Coding,whitlow_1978_thesis,es103,104,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0225,Low,Confirmed,Coding,whitlow_1978_thesis,es104,105,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0226,Low,Confirmed,Coding,whitlow_1978_thesis,es104,105,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0227,Low,Confirmed,Coding,whitlow_1978_thesis,es105,106,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0228,Low,Confirmed,Coding,whitlow_1978_thesis,es105,106,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0229,Low,Confirmed,Coding,whitlow_1978_thesis,es106,107,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0230,Low,Confirmed,Coding,whitlow_1978_thesis,es106,107,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0231,Low,Confirmed,Coding,whitlow_1978_thesis,es107,108,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0232,Low,Confirmed,Coding,whitlow_1978_thesis,es107,108,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0233,Low,Confirmed,Coding,whitlow_1978_thesis,es108,109,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0234,Low,Confirmed,Coding,whitlow_1978_thesis,es108,109,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0235,Low,Confirmed,Coding,whitlow_1978_thesis,es109,110,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0236,Low,Confirmed,Coding,whitlow_1978_thesis,es109,110,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0237,Low,Confirmed,Coding,whitlow_1978_thesis,es110,111,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0238,Low,Confirmed,Coding,whitlow_1978_thesis,es110,111,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0239,Low,Confirmed,Coding,whitlow_1978_thesis,es111,112,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0240,Low,Confirmed,Coding,whitlow_1978_thesis,es111,112,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0241,Low,Confirmed,Coding,whitlow_1978_thesis,es112,113,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0242,Low,Confirmed,Coding,whitlow_1978_thesis,es112,113,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0243,Low,Confirmed,Coding,whitlow_1978_thesis,es113,114,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0244,Low,Confirmed,Coding,whitlow_1978_thesis,es113,114,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0245,Low,Confirmed,Coding,whitlow_1978_thesis,es114,115,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0246,Low,Confirmed,Coding,whitlow_1978_thesis,es114,115,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0247,Low,Confirmed,Coding,whitlow_1978_thesis,es115,116,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0248,Low,Confirmed,Coding,whitlow_1978_thesis,es115,116,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0249,Low,Confirmed,Coding,whitlow_1978_thesis,es116,117,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0250,Low,Confirmed,Coding,whitlow_1978_thesis,es116,117,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0251,Low,Confirmed,Coding,whitlow_1978_thesis,es117,118,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0252,Low,Confirmed,Coding,whitlow_1978_thesis,es117,118,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0253,Low,Confirmed,Coding,whitlow_1978_thesis,es118,119,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0254,Low,Confirmed,Coding,whitlow_1978_thesis,es118,119,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0255,Low,Confirmed,Coding,whitlow_1978_thesis,es119,120,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0256,Low,Confirmed,Coding,whitlow_1978_thesis,es119,120,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0257,Low,Confirmed,Coding,whitlow_1978_thesis,es120,121,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0258,Low,Confirmed,Coding,whitlow_1978_thesis,es120,121,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0259,Low,Confirmed,Coding,whitlow_1978_thesis,es121,122,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0260,Low,Confirmed,Coding,whitlow_1978_thesis,es121,122,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0261,Low,Confirmed,Coding,whitlow_1978_thesis,es122,123,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0262,Low,Confirmed,Coding,whitlow_1978_thesis,es122,123,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0263,Low,Confirmed,Coding,whitlow_1978_thesis,es123,124,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0264,Low,Confirmed,Coding,whitlow_1978_thesis,es123,124,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0265,Low,Confirmed,Coding,whitlow_1978_thesis,es124,125,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0266,Low,Confirmed,Coding,whitlow_1978_thesis,es124,125,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
I0267,Low,Confirmed,Coding,whitlow_1978_thesis,es125,126,exposure_type,Intermitent,Intermittent,Protocol permits Intermittent or Continuous.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item exposure_type",Standardize to the protocol spelling.
I0268,Low,Confirmed,Coding,whitlow_1978_thesis,es125,126,measurement_timing,Not reported,Not Reported,Case does not match the protocol's three allowed labels.,protocol/PCNE_protocol_v.4_111425.docx,"Table 5, item measurement_timing",Standardize the label in the corrected copy.
